"","colony_id","plug.ID","date","run.number","site","species","vol.L","mV.chamber","temp.chamber","salinity.chamber","salinity.lab","temp.InSitu","TA","sample.type","notes","Ta.norm","run","salinity.chamber_initial","salinity.lab_initial","TA_initial","mV.chamber_initial","Ta.norm_initial","mean.blanks","surface.area.cm2","TA.Start.Time","TA.Stop.Time","start.time","stop.time","deltaTA","timediff","umol.cm2.hr","timepoint"
"30","ACR-244",244,20200304,2,2,"Acropora",0.6,-61.8,27.37,35.47,37.39,26.8,2277.3106,"Sample","",2365.24009261111,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,24.5936132,"5:59:00 PM","7:39:00 PM",2021-07-19 17:59:00,2021-07-19 19:39:00,10.4954818888891,1.66666666666667,0.0785829239202657,"timepoint2"
"31","POR-235",235,20200304,2,2,"Porites",0.58,-62.8,27.22,35.48,37.41,26.8,2288.1886,"Sample","",2377.80932016667,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,27.61260009,"6:00:00 PM","7:37:00 PM",2021-07-19 18:00:00,2021-07-19 19:37:00,-73.5470925,1.61666666666667,0,"timepoint2"
"32","POR-235",235,20200304,2,2,"Porites",0.58,-62.8,27.22,35.48,37.41,26.8,2288.1886,"Sample","",2377.80932016667,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,27.61260009,"6:00:00 PM","7:37:00 PM",2021-07-19 18:00:00,2021-07-19 19:37:00,-3.07729483333287,1.61666666666667,0,"timepoint2"
"33","POR-235",235,20200304,2,2,"Porites",0.58,-62.8,27.22,35.48,37.41,26.8,2288.1886,"Sample","",2377.80932016667,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,27.61260009,"6:00:00 PM","7:37:00 PM",2021-07-19 18:00:00,2021-07-19 19:37:00,-2.07374566666613,1.61666666666667,0,"timepoint2"
"34","ACR-229",229,20200304,2,2,"Acropora",0.605,-61.3,27.28,35.89,37.38,26.8,2272.1349,"Sample","",2359.2334045,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,16.7936285,"5:58:00 PM","7:32:00 PM",2021-07-19 17:58:00,2021-07-19 19:32:00,-54.9711768333341,1.56666666666667,0,"timepoint2"
"35","ACR-229",229,20200304,2,2,"Acropora",0.605,-61.3,27.28,35.89,37.38,26.8,2272.1349,"Sample","",2359.2334045,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,16.7936285,"5:58:00 PM","7:32:00 PM",2021-07-19 17:58:00,2021-07-19 19:32:00,15.498620833333,1.56666666666667,0.182294229504875,"timepoint2"
"36","ACR-229",229,20200304,2,2,"Acropora",0.605,-61.3,27.28,35.89,37.38,26.8,2272.1349,"Sample","",2359.2334045,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,16.7936285,"5:58:00 PM","7:32:00 PM",2021-07-19 17:58:00,2021-07-19 19:32:00,16.5021699999998,1.56666666666667,0.194097939272025,"timepoint2"
"37","POR-245",245,20200304,2,2,"Porites",0.61,-60.6,27.11,35.55,37.43,26.8,2268.3723,"Sample","",2358.47708858333,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,21.14067033,"6:01:00 PM","7:47:00 PM",2021-07-19 18:01:00,2021-07-19 19:47:00,-54.214860916667,1.76666666666667,0,"timepoint2"
"38","POR-245",245,20200304,2,2,"Porites",0.61,-60.6,27.11,35.55,37.43,26.8,2268.3723,"Sample","",2358.47708858333,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,21.14067033,"6:01:00 PM","7:47:00 PM",2021-07-19 18:01:00,2021-07-19 19:47:00,16.2549367500001,1.76666666666667,0.135796128421434,"timepoint2"
"39","POR-245",245,20200304,2,2,"Porites",0.61,-60.6,27.11,35.55,37.43,26.8,2268.3723,"Sample","",2358.47708858333,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,21.14067033,"6:01:00 PM","7:47:00 PM",2021-07-19 18:01:00,2021-07-19 19:47:00,17.2584859166668,1.76666666666667,0.14417992551704,"timepoint2"
"40","POC-257",257,20200304,2,2,"Pocillopora",0.61,-61.1,27.04,35.5,36.79,26.8,2294.212816,"Sample","",2344.55804168444,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,22.30786229,"6:04:00 PM","7:51:00 PM",2021-07-19 18:04:00,2021-07-19 19:51:00,-40.2958140177784,1.78333333333333,0,"timepoint2"
"41","POC-257",257,20200304,2,2,"Pocillopora",0.61,-61.1,27.04,35.5,36.79,26.8,2294.212816,"Sample","",2344.55804168444,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,22.30786229,"6:04:00 PM","7:51:00 PM",2021-07-19 18:04:00,2021-07-19 19:51:00,30.1739836488887,1.78333333333333,0.236656066392727,"timepoint2"
"42","POC-257",257,20200304,2,2,"Pocillopora",0.61,-61.1,27.04,35.5,36.79,26.8,2294.212816,"Sample","",2344.55804168444,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,22.30786229,"6:04:00 PM","7:51:00 PM",2021-07-19 18:04:00,2021-07-19 19:51:00,31.1775328155554,1.78333333333333,0.244526952815236,"timepoint2"
"43","POR-240",240,20200304,2,2,"Porites",0.605,-60.5,27.26,35.53,36.88,26.8,2253.771278,"Sample","",2308.86346479556,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,11.84802669,"6:04:00 PM","7:48:00 PM",2021-07-19 18:04:00,2021-07-19 19:48:00,-4.60123712888981,1.73333333333333,0,"timepoint2"
"44","POR-240",240,20200304,2,2,"Porites",0.605,-60.5,27.26,35.53,36.88,26.8,2253.771278,"Sample","",2308.86346479556,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,11.84802669,"6:04:00 PM","7:48:00 PM",2021-07-19 18:04:00,2021-07-19 19:48:00,65.8685605377773,1.73333333333333,0.992546980734289,"timepoint2"
"45","POR-240",240,20200304,2,2,"Porites",0.605,-60.5,27.26,35.53,36.88,26.8,2253.771278,"Sample","",2308.86346479556,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,11.84802669,"6:04:00 PM","7:48:00 PM",2021-07-19 18:04:00,2021-07-19 19:48:00,66.872109704444,1.73333333333333,1.00766906154585,"timepoint2"
"46","POR-262",262,20200304,2,2,"Porites",0.59,-60.6,27.06,35.43,36.87,26.8,2248.02673,"Sample","",2302.35404264167,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,16.33722652,"6:00:00 PM","7:41:00 PM",2021-07-19 18:00:00,2021-07-19 19:41:00,1.90818502499951,1.68333333333333,0.0209396625637364,"timepoint2"
"47","POR-262",262,20200304,2,2,"Porites",0.59,-60.6,27.06,35.43,36.87,26.8,2248.02673,"Sample","",2302.35404264167,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,16.33722652,"6:00:00 PM","7:41:00 PM",2021-07-19 18:00:00,2021-07-19 19:41:00,72.3779826916666,1.68333333333333,0.794247158819329,"timepoint2"
"48","POR-262",262,20200304,2,2,"Porites",0.59,-60.6,27.06,35.43,36.87,26.8,2248.02673,"Sample","",2302.35404264167,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,16.33722652,"6:00:00 PM","7:41:00 PM",2021-07-19 18:00:00,2021-07-19 19:41:00,73.3815318583333,1.68333333333333,0.805259707728796,"timepoint2"
"49","POC-254",254,20200304,2,2,"Pocillopora",0.605,-61.2,27.03,35.52,36.86,26.8,2287.412026,"Sample","",2342.05575773222,1,35.57,36.03,2325.797,-63.4,2327.73516416667,23.4729365000003,40.90437258,"5:58:00 PM","7:43:00 PM",2021-07-19 17:58:00,2021-07-19 19:43:00,-37.7935300655563,1.75,0,"timepoint2"
"50","POC-254",254,20200304,2,2,"Pocillopora",0.605,-61.2,27.03,35.52,36.86,26.8,2287.412026,"Sample","",2342.05575773222,2,35.57,37.38,2309.6677,-63.4,2398.20496183333,23.4729365000003,40.90437258,"5:58:00 PM","7:43:00 PM",2021-07-19 17:58:00,2021-07-19 19:43:00,32.6762676011108,1.75,0.141262104665413,"timepoint2"
"51","POC-254",254,20200304,2,2,"Pocillopora",0.605,-61.2,27.03,35.52,36.86,26.8,2287.412026,"Sample","",2342.05575773222,2,35.57,37.38,2310.6342,-63.4,2399.208511,23.4729365000003,40.90437258,"5:58:00 PM","7:43:00 PM",2021-07-19 17:58:00,2021-07-19 19:43:00,33.6798167677775,1.75,0.145600527558416,"timepoint2"
"52","ACR-265",265,20200305,3,2,"Acropora",0.6,-61.5,28.73,35.81,37,26.8,2283.76004,"Sample","",2347.19781888889,3,35.7,37.02,2315.484165,-62.8,2381.089549675,-46.5001009194448,26.58756613,"6:15:00 PM","7:57:00 PM",2021-07-19 18:15:00,2021-07-19 19:57:00,80.3918317055559,1.7,0.545860046667281,"timepoint2"
"53","ACR-265",265,20200305,3,2,"Acropora",0.6,-61.5,28.73,35.81,37,26.8,2283.76004,"Sample","",2347.19781888889,3,35.89,35.35,2314.881406,-63,2273.08493616944,-46.5001009194448,26.58756613,"6:15:00 PM","7:57:00 PM",2021-07-19 18:15:00,2021-07-19 19:57:00,-27.6127817999995,1.7,0,"timepoint2"
"54","POC-239",239,20200305,3,2,"Pocillopora",0.61,-64.2,29.11,35.56,37.03,26.8,2295.814724,"Sample","",2361.50053415889,3,35.7,37.02,2315.484165,-62.8,2381.089549675,-46.5001009194448,22.1769273,"6:14:00 PM","8:02:00 PM",2021-07-19 18:14:00,2021-07-19 20:02:00,66.0891164355558,1.8,0.516572807246684,"timepoint2"
"55","POC-239",239,20200305,3,2,"Pocillopora",0.61,-64.2,29.11,35.56,37.03,26.8,2295.814724,"Sample","",2361.50053415889,3,35.89,35.35,2314.881406,-63,2273.08493616944,-46.5001009194448,22.1769273,"6:14:00 PM","8:02:00 PM",2021-07-19 18:14:00,2021-07-19 20:02:00,-41.9154970699997,1.8,0,"timepoint2"
"56","POR-209",209,20200305,3,2,"Porites",0.61,-63.5,28.41,35.56,37.02,26.8,2254.082113,"Sample","",2317.94777286833,3,35.7,37.02,2315.484165,-62.8,2381.089549675,-46.5001009194448,11.39536571,"6:15:00 PM","8:10:00 PM",2021-07-19 18:15:00,2021-07-19 20:10:00,109.641877726111,1.91666666666667,1.56630769030539,"timepoint2"
"57","POR-209",209,20200305,3,2,"Porites",0.61,-63.5,28.41,35.56,37.02,26.8,2254.082113,"Sample","",2317.94777286833,3,35.89,35.35,2314.881406,-63,2273.08493616944,-46.5001009194448,11.39536571,"6:15:00 PM","8:10:00 PM",2021-07-19 18:15:00,2021-07-19 20:10:00,1.63726422055606,1.91666666666667,0.0233894164611528,"timepoint2"
"58","POC-217",217,20200305,3,2,"Pocillopora",0.61,-63.6,28.91,35.67,37.01,26.8,2299.829171,"Sample","",2364.35215607528,3,35.7,37.02,2315.484165,-62.8,2381.089549675,-46.5001009194448,15.12140156,"6:14:00 PM","8:00:00 PM",2021-07-19 18:14:00,2021-07-19 20:00:00,63.2374945191673,1.76666666666667,0.738590073277771,"timepoint2"
"59","POC-217",217,20200305,3,2,"Pocillopora",0.61,-63.6,28.91,35.67,37.01,26.8,2299.829171,"Sample","",2364.35215607528,3,35.89,35.35,2314.881406,-63,2273.08493616944,-46.5001009194448,15.12140156,"6:14:00 PM","8:00:00 PM",2021-07-19 18:14:00,2021-07-19 20:00:00,-44.7671189863881,1.76666666666667,0,"timepoint2"
"60","POR-221",221,20200305,3,2,"Porites",0.59,-62.5,28.95,35.7,37.01,26.8,2172.689174,"Sample","",2233.64517582611,3,35.7,37.02,2315.484165,-62.8,2381.089549675,-46.5001009194448,21.9375033,"6:20:00 PM","7:59:00 PM",2021-07-19 18:20:00,2021-07-19 19:59:00,193.944474768333,1.65,1.6169772808708,"timepoint2"
"61","POR-221",221,20200305,3,2,"Porites",0.59,-62.5,28.95,35.7,37.01,26.8,2172.689174,"Sample","",2233.64517582611,3,35.89,35.35,2314.881406,-63,2273.08493616944,-46.5001009194448,21.9375033,"6:20:00 PM","7:59:00 PM",2021-07-19 18:20:00,2021-07-19 19:59:00,85.9398612627779,1.65,0.716508182814134,"timepoint2"
"62","POC-259",259,20200305,3,2,"Pocillopora",0.605,-64.1,28.72,35.53,37.04,26.8,2285.389964,"Sample","",2351.41234073778,3,35.7,37.02,2315.484165,-62.8,2381.089549675,-46.5001009194448,55.91700501,"6:14:00 PM","8:05:00 PM",2021-07-19 18:14:00,2021-07-19 20:05:00,76.1773098566669,1.85,0.227882520403942,"timepoint2"
"63","POC-259",259,20200305,3,2,"Pocillopora",0.605,-64.1,28.72,35.53,37.04,26.8,2285.389964,"Sample","",2351.41234073778,3,35.89,35.35,2314.881406,-63,2273.08493616944,-46.5001009194448,55.91700501,"6:14:00 PM","8:05:00 PM",2021-07-19 18:14:00,2021-07-19 20:05:00,-31.8273036488886,1.85,0,"timepoint2"
"64","POC-207",207,20200305,3,2,"Pocillopora",0.61,-64.8,29.04,35.53,37.04,26.8,2299.988048,"Sample","",2366.43214716444,3,35.7,37.02,2315.484165,-62.8,2381.089549675,-46.5001009194448,18.92225742,"6:14:00 PM","8:03:00 PM",2021-07-19 18:14:00,2021-07-19 20:03:00,61.1575034299999,1.81666666666667,0.5551074135955,"timepoint2"
"65","POC-207",207,20200305,3,2,"Pocillopora",0.61,-64.8,29.04,35.53,37.04,26.8,2299.988048,"Sample","",2366.43214716444,3,35.89,35.35,2314.881406,-63,2273.08493616944,-46.5001009194448,18.92225742,"6:14:00 PM","8:03:00 PM",2021-07-19 18:14:00,2021-07-19 20:03:00,-46.8471100755555,1.81666666666667,0,"timepoint2"
"66","POR-236",236,20200305,3,2,"Porites",0.59,-64.8,28.6,35.51,35.35,26.8,2210.787949,"Sample","",2170.87094436528,3,35.7,37.02,2315.484165,-62.8,2381.089549675,-46.5001009194448,24.96397219,"6:14:00 PM","8:09:00 PM",2021-07-19 18:14:00,2021-07-19 20:09:00,256.718706229167,1.91666666666667,1.61917908359855,"timepoint2"
"67","POR-236",236,20200305,3,2,"Porites",0.59,-64.8,28.6,35.51,35.35,26.8,2210.787949,"Sample","",2170.87094436528,3,35.89,35.35,2314.881406,-63,2273.08493616944,-46.5001009194448,24.96397219,"6:14:00 PM","8:09:00 PM",2021-07-19 18:14:00,2021-07-19 20:09:00,148.714092723611,1.91666666666667,0.937971182199146,"timepoint2"
"68","POR-206",206,20200305,3,2,"Porites",0.59,-65.6,28.71,35.55,35.38,26.8,2169.180821,"Sample","",2131.82270686056,3,35.7,37.02,2315.484165,-62.8,2381.089549675,-46.5001009194448,18.34988444,"6:14:00 PM","8:07:00 PM",2021-07-19 18:14:00,2021-07-19 20:07:00,295.766943733889,1.88333333333333,2.58277608617936,"timepoint2"
"69","POR-206",206,20200305,3,2,"Porites",0.59,-65.6,28.71,35.55,35.38,26.8,2169.180821,"Sample","",2131.82270686056,3,35.89,35.35,2314.881406,-63,2273.08493616944,-46.5001009194448,18.34988444,"6:14:00 PM","8:07:00 PM",2021-07-19 18:14:00,2021-07-19 20:07:00,187.762330228334,1.88333333333333,1.63962899395335,"timepoint2"
"70","POR-260",260,20200306,4,2,"Porites",0.54,-64.5,28.52,35.71,35.5,26.8,2215.424676,"Sample","",2184.65488883333,4,35.89,35.66,2323.476459,-63,2301.532514665,-11.9861512601391,24.24570022,"1:54:00 PM","3:44:00 PM",2021-07-19 13:54:00,2021-07-19 15:44:00,128.863777091806,1.83333333333333,0.800744729188582,"timepoint2"
"71","POR-260",260,20200306,4,2,"Porites",0.54,-64.5,28.52,35.71,35.5,26.8,2215.424676,"Sample","",2184.65488883333,4,35.64,35.66,2302.129156,-62.1,2280.38682508222,-11.9861512601391,24.24570022,"1:54:00 PM","3:44:00 PM",2021-07-19 13:54:00,2021-07-19 15:44:00,107.718087509028,1.83333333333333,0.669347839693373,"timepoint2"
"72","POR-260",260,20200306,4,2,"Porites",0.54,-64.5,28.52,35.71,35.5,26.8,2215.424676,"Sample","",2184.65488883333,5,35.89,37.3,2349.401345,-63,2434.24083801389,-11.9861512601391,24.24570022,"1:54:00 PM","3:44:00 PM",2021-07-19 13:54:00,2021-07-19 15:44:00,261.572100440695,1.83333333333333,1.62537902781985,"timepoint2"
"73","POR-260",260,20200306,4,2,"Porites",0.54,-64.5,28.52,35.71,35.5,26.8,2215.424676,"Sample","",2184.65488883333,5,35.64,36.52,2354.906625,-62.1,2388.92194291667,-11.9861512601391,24.24570022,"1:54:00 PM","3:44:00 PM",2021-07-19 13:54:00,2021-07-19 15:44:00,216.253205343473,1.83333333333333,1.34377261210927,"timepoint2"
