Date,Run.Number,Start.Time,Stop.Time,Chamber,Channel,Position,Species,colony_id,Plug.ID,Site,Vol.ml,pH.mV,Temp.C,Salinity,Surface.Area,TA.Start.Time,TA.Stop.Time,Notes
20200912,4,16:20,17:58,3,3,6,Pocillopora,POC-219,219,2,590,-60.6,27.1,36.28,,16:20,17:58,
20200912,4,16:20,18:01,4,4,1,Pocillopora,POC-377,377,3,595,-60.6,27,36.34,,16:20,18:01,
20200912,4,16:19,18:03,5,5,3,Acropora,ACR-220,220,2,590,-60.1,27,36.3,,16:19,18:03,
20200912,4,16:19,18:06,6,6,9,Porites,POR-214,214,2,585,-61.3,27,36.38,,16:19,18:06,
20200912,4,16:19,18:09,7,7,8,Porites,POR-209,209,2,595,-60.9,27,36.46,,16:19,18:09,
20200912,4,16:19,18:11,8,8,7,Pocillopora,POC-375,375,3,595,-62.5,26.9,36.55,,16:19,18:11,
20200912,4,16:20,18:14,9,9,12,Pocillopora,POC-366,366,3,600,-63.3,27.1,36.42,,16:20,18:14,
20200912,4,16:21,18:16,10,10,10,BK-4,BK-4,BK-4,3,615,-60.7,26.8,36.32,,16:21,18:16,
20200913,5,11:46,13:21,1,1,4,BK-5,BK-5,BK-5,3,610,-61.3,27.629,36.47,,11:46,13:21,
20200913,5,11:46,13:24,2,2,5,Pocillopora,POC-200,200,2,600,-61.5,27.8,36.56,,11:46,13:24,
20200913,5,11:46,13:27,3,3,6,Acropora,ACR-210,210,2,605,-58.5,27.7,36.27,,11:46,13:27,
20200913,5,11:47,13:29,4,4,1,Porites,POR-240,240,2,590,-59.8,27.6,36.28,,11:47,13:29,
20200913,5,11:44,13:32,5,5,3,Acropora,ACR-241,241,2,610,-58.7,27.5,36.28,,11:44,13:32,
20200913,5,11:44,13:35,6,6,9,Pocillopora,POC-222,222,2,595,-63,27.6,36.35,,11:44,13:35,
20200913,5,11:44,13:37,7,7,8,Pocillopora,POC-201,201,2,590,-60.8,27.7,36.47,,11:44,13:37,
20200913,5,11:44,13:39,8,8,7,Porites,POR-245,245,2,595,-57.4,27.5,36.47,,11:44,13:39,
20200913,5,11:46,13:42,9,9,12,Acropora,ACR-244,244,2,605,-58,27.7,36.5,,11:46,13:42,
20200913,5,11:46,13:44,10,10,10,Porites,POR-242,242,2,580,-54.4,27.6,36.48,,11:46,13:44,
20200913,6,16:31,18:02,1,1,4,BK-6,BK-6,BK-6,2,615,-61.5,26.7,36.51,,16:31,18:02,
20200913,6,16:31,18:04,2,2,5,Porites,POR-251,251,2,600,-61.1,26.8,36.49,,16:31,18:04,
20200913,6,16:32,18:07,3,3,6,Porites,POR-262,262,2,610,-59.9,26.8,36.27,,16:32,18:07,
20200913,6,16:30,18:10,4,4,1,Porites,POR-253,253,2,600,-58.6,26.9,36.28,,16:30,18:10,
20200913,6,16:31,18:12,5,5,3,Pocillopora,POC-205,205,2,605,-59.2,26.9,36.29,,16:31,18:12,
20200913,6,16:30,18:15,6,6,9,Acropora,ACR-265,265,2,595,-59.5,26.7,36.51,,16:30,18:15,
20200913,6,16:30,18:17,7,7,8,Pocillopora,POC-239,239,2,605,-60.6,26.8,36.49,,16:30,18:17,
20200913,6,16:30,18:20,8,8,7,Acropora,ACR-213,213,2,605,-57.7,26.6,36.55,,16:30,18:20,
20200913,6,16:30,18:23,9,9,12,Porites,POR-221,221,2,605,-58.8,26.7,36.54,,16:30,18:23,
20200913,6,16:31,18:26,10,10,10,Pocillopora,POC-248,248,2,600,-58.1,26.7,36.4,,16:31,18:26,
20200914,7,11:12,12:45,1,1,4,BK-7,BK-7,BK-7,2,610,-59.2,28.4,36.63,,11:12,12:45,
20200914,7,11:12,12:47,2,2,5,Pocillopora,POC-238,238,2,605,-58.2,28.7,36.41,,11:12,12:47,
20200914,7,11:11,12:50,3,3,6,Porites,POR-224,224,2,605,-58.7,28.5,36.38,,11:11,12:50,
20200914,7,11:11,12:52,4,4,1,Porites,POR-216,216,2,600,-57.1,28.6,36.16,,11:11,12:52,
20200914,7,11:10,12:55,5,5,3,Pocillopora,POC-259,259,2,600,-60.6,28.7,36.42,,11:10,12:55,
20200914,7,11:12,12:57,6,6,9,Acropora,ACR-237,237,2,605,-58.4,28.8,36.51,,11:12,12:57,
20200914,7,11:12,12:59,7,7,8,Acropora,ACR-225,225,2,610,-57.3,28.7,36.41,,11:12,12:59,
20200914,7,11:10,13:02,8,8,7,Porites,POR-260,260,2,600,-58.3,28.7,36.5,,11:10,13:02,
20200914,7,11:10,13:05,9,9,12,Pocillopora,POC-257,257,2,605,-61,28.8,36.49,,11:10,13:05,
20200914,7,11:10,13:07,10,10,10,Acropora,ACR-218,210,2,590,-55.3,28.5,36.46,,11:10,13:07,
20200914,8,16:00,17:35,1,1,4,BK-8,BK-8,BK-8,2,615,-61.3,27.3,36.56,,16:00,17:35,
20200914,8,15:59,17:37,2,2,5,Acropora,ACR-175,175,1,610,-60.2,27.4,36.34,,15:59,17:37,
20200914,8,16:00,17:40,3,3,6,Acropora,ACR-150,150,1,615,-59.7,27.5,36.92,,16:00,17:40,
20200914,8,15:59,17:42,4,4,1,Pocillopora,POC-207,207,2,605,-60.2,27.5,36.39,,15:59,17:42,
20200914,8,16:00,17:44,5,5,3,Pocillopora,POC-57,57,1,600,-59.2,27.6,36.45,,16:00,17:44,
20200914,8,16:01,17:46,6,6,9,Pocillopora,POC-45,45,1,595,-59.3,27.5,36.54,,16:01,17:46,
20200914,8,15:59,17:48,7,7,8,Porites,POR-80,80,1,600,-61.2,27.4,36.56,,15:59,17:48,
20200914,8,15:59,17:51,8,8,7,Pocillopora,POC-254,254,2,600,-59,27.4,36.27,,15:59,17:51,
20200914,8,16:01,17:54,9,9,12,Porites,POR-81,81,1,590,-59.2,27.4,36.27,,16:01,17:54,
20200914,8,16:01,17:57,10,10,10,Porites,POR-76,76,1,590,-60.4,27.3,36.51,,16:01,17:57,
20200915,9,11:12,12:47,1,1,4,BK-9,BK-9,BK-9,1,615,-59.4,27.8,36.39,,11:12,12:47,
20200915,9,11:11,12:49,2,2,5,Pocillopora,POC-48,48,1,590,-59.9,28,36.68,,11:11,12:49,
20200915,9,11:11,12:52,3,3,6,Pocillopora,POC-52,52,1,595,-60.7,27.9,36.64,,11:11,12:52,
20200915,9,11:13,12:54,4,4,1,Pocillopora,POC-55,55,1,595,-59.1,27.9,36.77,,11:13,12:54,
20200915,9,11:13,12:57,5,5,3,Pocillopora,POC-40,40,1,595,-59,27.9,36.49,,11:13,12:57,
20200915,9,11:12,12:59,6,6,9,Pocillopora,POC-43,43,1,590,-59.5,27.9,36.5,,11:12,12:59,
20200915,9,11:12,13:02,7,7,8,Pocillopora,POC-44,44,1,600,-58,27.9,36.4,,11:12,13:02,
20200915,9,11:11,13:04,8,8,7,Pocillopora,POC-68,68,1,600,-57.4,27.9,36.5,,11:11,13:04,
20200915,9,11:11,13:07,9,9,12,Pocillopora,POC-53,53,1,590,-56.5,28,36.27,,11:11,13:07,
20200915,9,11:12,13:09,10,10,10,Pocillopora,POC-42,42,1,600,-58.9,27.9,36.62,,11:12,13:09,
20200915,10,16:01,17:34,1,1,4,BK-10,BK-10,BK-10,1,615,-61.9,27.1,36.39,,16:01,17:34,
20200915,10,16:01,17:37,2,2,5,Acropora,ACR-186,186,1,605,-59.9,27.2,36.76,,16:01,17:37,
20200915,10,16:00,17:39,3,3,6,Acropora,ACR-178,178,1,600,-59.2,27.3,36.53,,16:00,17:39,
20200915,10,16:00,17:41,4,4,1,Acropora,ACR-190,190,1,610,-59.7,27.1,36.31,,16:00,17:41,
20200915,10,16:02,17:43,5,5,3,Acropora,ACR-139,139,1,605,-59.1,27.2,36.66,,16:02,17:43,
20200915,10,16:03,17:45,6,6,9,Porites,POR-75,75,1,600,-59.9,27.1,36.57,,16:03,17:45,
20200915,10,16:00,17:48,7,7,8,Porites,POR-72,72,1,605,-60.2,27.1,36.49,,16:00,17:48,
20200915,10,16:00,17:50,8,8,7,Porites,POR-83,83,1,600,-59.1,27.1,36.74,,16:00,17:50,
20200915,10,16:02,17:52,9,9,12,Porites,POR-79,79,1,595,-59.6,27.1,36.28,,16:02,17:52,
20200915,10,16:02,17:54,10,10,10,Pocillopora,POC-47,47,1,595,-59.7,27.1,36.51,,16:02,17:54,
20200916,11,10:54,12:28,1,1,4,Porites,POR-69,69,1,595,-58.9,28,36.57,,10:54,12:28,
20200916,11,10:53,12:30,2,2,5,Porites,POR-73,73,1,600,-59.7,28.2,36.34,,10:53,12:30,
20200916,11,10:53,12:32,3,3,6,Acropora,ACR-173,173,1,605,-58.4,28,36.2,,10:53,12:32,
20200916,11,10:54,12:35,4,4,1,BK-11,BK-11,BK-11,1,620,-60,27.9,36.21,,10:54,12:35,
20200916,11,10:54,12:37,5,5,3,Porites,POR-82,82,1,600,-58.5,28,36.5,,10:54,12:37,
20200916,11,10:54,12:39,6,6,9,Porites,POR-74,74,1,595,-56.4,27.9,36.48,,10:54,12:39,
20200916,11,10:54,12:41,7,7,8,Porites,POR-70,70,1,590,-58.8,28.1,36.43,,10:54,12:41,
20200916,11,10:53,12:43,8,8,7,Porites,POR-71,71,1,600,-55.9,27.9,36.37,,10:53,12:43,
20200916,11,10:53,12:45,9,9,12,Acropora,ACR-140,140,1,605,-56.4,27.9,36.37,,10:53,12:45,
20200916,11,10:54,12:47,10,10,10,Acropora,ACR-143,143,1,600,-55.8,27.9,36.52,,10:54,12:47,
