colony_id,plug.ID,date,run.number,site,species,vol.L,mV.chamber,temp.chamber,salinity.chamber,salinity.lab,temp.InSitu,TA,sample.type,notes
BLANK_5,NA,20200913,5,,NA,,-61.3,27.629,36.47,36.20,26.8,2370.051547,Blank,volume and initial TA values not found
BLANK_6,NA,20200913,6,,NA,,-61.5,26.7,36.51,36.21,26.8,2355.165938,Blank,volume and initial TA values not found
BLANK_7,NA,20200914,7,,NA,,-59.2,28.4,36.63,36.06,26.8,2340.888578,Blank,volume and initial TA values not found
BLANK_8,NA,20200914,8,,NA,,-61.3,27.3,36.56,36.16,26.8,2323.286806,Blank,volume and initial TA values not found
BLANK_9,NA,20200915,9,,NA,,-59.4,27.8,36.39,36.25,26.8,2346.377234,Blank,volume and initial TA values not found
INITIAL_1,NA,20200912,3,,NA,,,,,36.25,26.8,2347.878679,Initial,volume and initial TA values not found
INITIAL_1,NA,20200913,5,,NA,,,,,36.13,26.8,2363.88908,Initial,volume and initial TA values not found
INITIAL_1,NA,20200913,6,,NA,,,,,36.20,26.8,2330.260357,Initial,volume and initial TA values not found
INITIAL_1,NA,20200914,7,,NA,,,,,36.17,26.8,2346.716844,Initial,volume and initial TA values not found
INITIAL_1,NA,20200914,8,,NA,,,,,36.23,26.8,2345.931824,Initial,volume and initial TA values not found
INITIAL_1,NA,20200915,9,,NA,,,,,36.28,26.8,2358.127567,Initial,volume and initial TA values not found
INITIAL_1,NA,20200915,10,,NA,,,,,36.28,26.8,2357.366411,Initial,volume and initial TA values not found
INITIAL_1,NA,20200916,11,,NA,,,,,36.15,26.8,2350.891644,Initial,volume and initial TA values not found
INITIAL_2,NA,20200913,5,,NA,,,,,36.11,26.8,2356.13763,Initial,volume and initial TA values not found
INITIAL_2,NA,20200913,6,,NA,,,,,36.21,26.8,2332.678478,Initial,volume and initial TA values not found
INITIAL_2,NA,20200914,7,,NA,,,,,36.05,26.8,2320.097779,Initial,volume and initial TA values not found
INITIAL_2,NA,20200914,8,,NA,,,,,36.19,26.8,2346.72626,Initial,volume and initial TA values not found
INITIAL_2,NA,20200915,9,,NA,,,,,36.10,26.8,2366.407094,Initial,volume and initial TA values not found
INITIAL_2,NA,20200916,11,,NA,,,,,36.21,26.8,2346.249684,Initial,volume and initial TA values not found
POC_200,200,20200913,5,,Pocillopora,,-61.5,27.8,36.56,36.20,26.8,2316.281042,Sample,volume and initial TA values not found
POC_201,201,20200913,5,,Pocillopora,,-60.8,27.7,36.47,36.13,26.8,2280.256594,Sample,volume and initial TA values not found
POC_205,205,20200913,6,,Pocillopora,,-59.2,26.9,36.29,36.20,26.8,2347.324095,Sample,volume and initial TA values not found
POC_207,207,20200914,8,,Pocillopora,,-60.2,27.5,36.39,36.19,26.8,2334.990676,Sample,volume and initial TA values not found
POC_219,219,20200912,4,,Pocillopora,,-60.6,27.1,36.28,36.16,26.8,2313.088883,Sample,volume and initial TA values not found
POC_222,222,20200913,5,,Pocillopora,,-63,27.6,36.35,36.09,26.8,2291.329002,Sample,volume and initial TA values not found
POC_238,238,20200914,7,,Pocillopora,,-58.2,28.7,36.41,36.10,26.8,2326.910623,Sample,volume and initial TA values not found
POC_239,239,20200913,6,,Pocillopora,,-60.6,26.8,36.49,36.22,26.8,2331.014147,Sample,volume and initial TA values not found
POC_248,248,20200913,6,,Pocillopora,,-58.1,26.7,36.4,36.19,26.8,2337.567696,Sample,volume and initial TA values not found
POC_254,254,20200914,8,,Pocillopora,,-59,27.4,36.27,36.13,26.8,2287.649033,Sample,volume and initial TA values not found
POC_255,255,20200912,4,,Pocillopora,,-61.8,27.1,36.49,36.13,26.8,2328.535536,Sample,volume and initial TA values not found
POC_257,257,20200914,7,,Pocillopora,,-61,28.8,36.49,36.05,26.8,2266.5213,Sample,volume and initial TA values not found
POC_259,259,20200914,7,,Pocillopora,,-60.6,28.7,36.42,36.09,26.8,2335.428748,Sample,volume and initial TA values not found
POC_366,366,20200912,4,,Pocillopora,,-63.3,27.1,36.42,36.20,26.8,2339.664404,Sample,volume and initial TA values not found
POC_371,371,20200909,1,,Pocillopora,,-60.9,28.5,36.05,36.21,26.8,2272.141932,Sample,volume and initial TA values not found
POC_375,375,20200912,4,,Pocillopora,,-62.5,26.9,36.55,36.27,26.8,2294.772188,Sample,volume and initial TA values not found
POC_377,377,20200912,4,,Pocillopora,,-60.6,27,36.34,36.24,26.8,2329.504633,Sample,volume and initial TA values not found
POC_40,40,20200915,9,,Pocillopora,,-59,27.9,36.49,36.17,26.8,2304.699197,Sample,volume and initial TA values not found
POC_42,42,20200915,9,,Pocillopora,,-58.9,27.9,36.62,36.13,26.8,2351.202277,Sample,volume and initial TA values not found
POC_43,43,20200915,9,,Pocillopora,,-59.5,27.9,36.5,36.25,26.8,2338.907204,Sample,volume and initial TA values not found
POC_44,44,20200915,9,,Pocillopora,,-58,27.9,36.4,36.25,26.8,2345.213476,Sample,volume and initial TA values not found
POC_45,45,20200914,8,,Pocillopora,,-59.3,27.5,36.54,36.16,26.8,2313.63544,Sample,volume and initial TA values not found
POC_47,47,20200915,10,,Pocillopora,,-59.7,27.1,36.51,36.19,26.8,2347.515624,Sample,volume and initial TA values not found
POC_48,48,20200915,9,,Pocillopora,,-59.9,28,36.68,36.17,26.8,2328.735381,Sample,volume and initial TA values not found
POC_52,52,20200915,9,,Pocillopora,,-60.7,27.9,36.64,36.14,26.8,2302.834261,Sample,volume and initial TA values not found
POC_53,53,20200915,9,,Pocillopora,,-56.5,28,36.27,36.09,26.8,2300.858438,Sample,volume and initial TA values not found
POC_55,55,20200915,9,,Pocillopora,,-59.1,27.9,36.77,36.17,26.8,2330.806461,Sample,volume and initial TA values not found
POC_57,57,20200914,8,,Pocillopora,,-59.2,27.6,36.45,36.19,26.8,2342.115279,Sample,volume and initial TA values not found
POC_68,68,20200915,9,,Pocillopora,,-57.4,27.9,36.5,36.23,26.8,2316.764036,Sample,volume and initial TA values not found
POR_209,209,20200912,4,,Porites,,-60.9,27,36.46,36.11,26.8,2243.00126,Sample,volume and initial TA values not found
POR_214,214,20200912,4,,Porites,,-61.3,27,36.38,36.16,26.8,2253.585471,Sample,volume and initial TA values not found
POR_216,216,20200914,7,,Porites,,-57.1,28.6,36.16,36.11,26.8,2249.790023,Sample,volume and initial TA values not found
POR_221,221,20200913,6,,Porites,,-58.8,26.7,36.54,36.13,26.8,2280.654954,Sample,volume and initial TA values not found
POR_224,224,20200914,7,,Porites,,-58.7,28.5,36.38,36.03,26.8,2292.690905,Sample,volume and initial TA values not found
POR_242,242,20200913,5,,Porites,,-54.4,27.6,36.48,36.29,26.8,2063.666682,Sample,volume and initial TA values not found
POR_245,245,20200913,5,,Porites,,-57.4,27.5,36.47,36.19,26.8,2187.665068,Sample,volume and initial TA values not found
POR_251,251,20200913,6,,Porites,,-61.1,26.8,36.49,36.20,26.8,2215.543527,Sample,volume and initial TA values not found
POR_253,253,20200913,6,,Porites,,-58.6,26.9,36.28,36.26,26.8,2288.573398,Sample,volume and initial TA values not found
POR_260,260,20200914,7,,Porites,,-58.3,28.7,36.5,35.93,26.8,2216.004333,Sample,volume and initial TA values not found
POR_262,262,20200913,6,,Porites,,-59.9,26.8,36.27,36.13,26.8,2309.143829,Sample,volume and initial TA values not found
POR_69,69,20200916,11,,Porites,,-58.9,28,36.57,36.20,26.8,2201.070866,Sample,volume and initial TA values not found
POR_70,70,20200916,11,,Porites,,-58.8,28.1,36.43,36.13,26.8,2293.70258,Sample,volume and initial TA values not found
POR_71,71,20200916,11,,Porites,,-55.9,27.9,36.37,36.03,26.8,2271.170088,Sample,volume and initial TA values not found
POR_72,72,20200915,10,,Porites,,-60.2,27.1,36.49,36.15,26.8,2292.239515,Sample,volume and initial TA values not found
POR_73,73,20200916,11,,Porites,,-59.7,28.2,36.34,36.22,26.8,2273.030045,Sample,volume and initial TA values not found
POR_74,74,20200916,11,,Porites,,-56.4,27.9,36.48,36.16,26.8,2243.620338,Sample,volume and initial TA values not found
POR_75,75,20200915,10,,Porites,,-59.9,27.1,36.57,36.17,26.8,2266.897615,Sample,volume and initial TA values not found
POR_76,76,20200914,8,,Porites,,-60.4,27.3,36.51,36.14,26.8,2226.91548,Sample,volume and initial TA values not found
POR_79,79,20200915,10,,Porites,,-59.6,27.1,36.28,36.04,26.8,2259.507957,Sample,volume and initial TA values not found
POR_80,80,20200914,8,,Porites,,-61.2,27.4,36.56,36.11,26.8,2300.963852,Sample,volume and initial TA values not found
POR_81,81,20200914,8,,Porites,,-59.2,27.4,36.27,36.25,26.8,2264.843065,Sample,volume and initial TA values not found
POR_82,82,20200916,11,,Porites,,-58.5,28,36.5,36.18,26.8,2242.789732,Sample,volume and initial TA values not found
POR_83,83,20200915,10,,Porites,,-59.1,27.1,36.74,36.27,26.8,2259.309816,Sample,volume and initial TA values not found
